,elo_diff,bt_logit,trend_diff,record_logit_diff,cumulative_margin_diff,recent_margin_diff,turnover_advantage_diff,rebound_advantage_diff,foul_advantage_diff,rest_advantage,back_to_back_advantage,games_in_4_days_advantage,games_in_6_days_advantage
elo_diff,1.0,0.9832682168785156,0.1866890384872294,0.9817219656917757,0.9787648948844104,0.9131780275685331,0.4925630988038358,0.6276697350772581,0.4353589157072322,-0.01460960626964126,-0.05057013977412959,0.04393826952463256,0.02743812958502433
bt_logit,0.9832682168785156,1.0,0.1605063688850449,0.998642768697554,0.9625638397242349,0.8642248490740114,0.5205994946431123,0.5913248554690584,0.41866538095376066,-0.02513611610994479,-0.06620210518039484,0.02894644993121284,0.021073411831111142
trend_diff,0.1866890384872294,0.1605063688850449,1.0,0.15854284908998276,0.15389217835605795,0.41411581141224346,0.17123515797634156,0.09954240525821702,0.12397526298606408,0.016692249563969475,0.004650020530139249,0.08060079032556892,0.0378775781949761
record_logit_diff,0.9817219656917757,0.998642768697554,0.15854284908998276,1.0,0.964387035299646,0.8640768777936448,0.5238522198482682,0.5916814650344607,0.419849919144316,-0.026543273268152822,-0.06899830039716019,0.02462523067640172,0.02319108127855471
cumulative_margin_diff,0.9787648948844104,0.9625638397242349,0.15389217835605795,0.964387035299646,1.0,0.9031841240136486,0.5192680801172276,0.6370118540158816,0.4453110614988464,-0.017731539385505878,-0.057839173925927106,0.035921006914477215,0.019779618840438842
recent_margin_diff,0.9131780275685331,0.8642248490740114,0.41411581141224346,0.8640768777936448,0.9031841240136486,1.0,0.45878943448078674,0.6161702371971662,0.4305109866128833,0.005129138684110652,-0.016318385975683053,0.07937013332384651,0.0355972095440111
turnover_advantage_diff,0.4925630988038358,0.5205994946431123,0.17123515797634156,0.5238522198482682,0.5192680801172276,0.45878943448078674,1.0,-0.16295238550447103,0.04277749899669972,0.0869804439605591,0.022102924907019258,0.0708127196973488,0.10403533054517122
rebound_advantage_diff,0.6276697350772581,0.5913248554690584,0.09954240525821702,0.5916814650344607,0.6370118540158816,0.6161702371971662,-0.16295238550447103,1.0,0.44632328057546705,-0.07820679026892116,-0.05833031865486057,-0.012217763181676175,-0.06228013358125649
foul_advantage_diff,0.4353589157072322,0.41866538095376066,0.12397526298606408,0.419849919144316,0.4453110614988464,0.4305109866128833,0.04277749899669972,0.44632328057546705,1.0,-0.0863386107197305,-0.09118556512544204,-0.04603512611925896,-0.11763143510800828
rest_advantage,-0.01460960626964126,-0.02513611610994479,0.016692249563969475,-0.026543273268152822,-0.017731539385505878,0.005129138684110652,0.0869804439605591,-0.07820679026892116,-0.0863386107197305,1.0,0.7455116548723455,0.5857796858055926,0.5042923274295927
back_to_back_advantage,-0.05057013977412959,-0.06620210518039484,0.004650020530139249,-0.06899830039716019,-0.057839173925927106,-0.016318385975683053,0.022102924907019258,-0.05833031865486057,-0.09118556512544204,0.7455116548723455,1.0,0.5194169890706931,0.31066464905354657
games_in_4_days_advantage,0.04393826952463256,0.02894644993121284,0.08060079032556892,0.02462523067640172,0.035921006914477215,0.07937013332384651,0.0708127196973488,-0.012217763181676175,-0.04603512611925896,0.5857796858055926,0.5194169890706931,1.0,0.5964672947376671
games_in_6_days_advantage,0.02743812958502433,0.021073411831111142,0.0378775781949761,0.02319108127855471,0.019779618840438842,0.0355972095440111,0.10403533054517122,-0.06228013358125649,-0.11763143510800828,0.5042923274295927,0.31066464905354657,0.5964672947376671,1.0
