origin,selected_architecture,inner_blend_log_loss,train_games,fold_games,log_loss_constant,log_loss_elo,log_loss_rank,log_loss_blend,brier_constant,brier_elo,brier_rank,brier_blend
2026-02-01,conservative,0.6626716904584911,729,55,0.6968291314375993,0.5965598103485406,0.6170663431499961,0.6337764561645214,0.25182889539948927,0.20159291214183064,0.21187141395012635,0.22066193540088327
2026-02-08,lower_bt_shrinkage,0.6589398210668606,784,35,0.7066769482534764,0.6528755370607859,0.6491614362090371,0.6666743706262521,0.25673840326947106,0.22601583306472406,0.22645573086624848,0.23672856934094208
2026-02-15,conservative,0.6592114152058322,819,25,0.6863379749892864,0.5245773418076612,0.5365174086619181,0.594940859188746,0.24660199385474108,0.1744472396780342,0.1767205455487424,0.20310429352293904
2026-02-22,conservative,0.6560225100758652,844,51,0.7174261117619767,0.5911141352695776,0.6105298419949681,0.6238998857071597,0.2621017741792704,0.2042943949189389,0.21164954367012256,0.21683279737370648
2026-03-01,conservative,0.6528842310105639,895,53,0.6945419897406342,0.5184308734860296,0.5325930625890373,0.5677514856471744,0.2506947878690805,0.16723077188787783,0.17345229527700132,0.18903993961438864
2026-03-08,conservative,0.6457387418381072,948,56,0.6649321177240185,0.5351575610069158,0.5538115035489632,0.5721321708236132,0.23591559146758634,0.179697074288993,0.1866332121564229,0.19307409290696448
2026-03-15,conservative,0.6392038497823094,1004,56,0.6940814220663017,0.47477754960968654,0.5023255854809346,0.5164894563505069,0.25046286113372346,0.15267317755244722,0.1636083822229086,0.16800288289643586
2026-03-22,conservative,0.6294898531261361,1060,50,0.672199141226003,0.48563871348950477,0.5088150302326113,0.5095938564225638,0.23955090779636878,0.1592140285895277,0.16728337684079286,0.1661846283533305
2026-03-29,conservative,0.6217574276150953,1110,51,0.6883338860548307,0.4644270101667144,0.47370897242606486,0.49500651986518335,0.24759721565762907,0.14882851500133304,0.1500508928463293,0.15923819565665567
2026-04-05,conservative,0.6139132201149196,1161,54,0.6725925006631809,0.47463762698939993,0.48840944948576004,0.5000936071812392,0.23975143943895827,0.15376828664385112,0.15735779915623058,0.16251252074025557
2026-04-12,conservative,0.6069072005641356,1215,15,0.6496821895004976,0.5032672306189564,0.521259089241182,0.4968578766232778,0.22834188555267654,0.17060492426086554,0.17954017465277988,0.16610284425658092
