bin,games,mean_probability,observed_home_win_rate,min_probability,max_probability,gap
"(0.0607, 0.201]",34,0.13572188463600782,0.029411764705882353,0.06168216051493179,0.20076932231344874,-0.10631011993012546
"(0.201, 0.295]",33,0.24892193099535212,0.15151515151515152,0.20221667780035044,0.29221211333825114,-0.0974067794802006
"(0.295, 0.364]",34,0.3334888546011,0.47058823529411764,0.29516701421496233,0.36368392899377006,0.13709938069301764
"(0.364, 0.465]",33,0.41722349644016715,0.3939393939393939,0.36446805077733824,0.4639753214121339,-0.02328410250077323
"(0.465, 0.559]",34,0.5130530461106344,0.7647058823529411,0.4648591288544983,0.5587628828163279,0.2516528362423067
"(0.559, 0.64]",33,0.6028959621660845,0.8181818181818182,0.5588096991518979,0.639944012239396,0.2152858560157337
"(0.64, 0.703]",33,0.6705964133056183,0.7878787878787878,0.6409730344308886,0.7019763326226569,0.11728237457316959
"(0.703, 0.769]",34,0.7325581083163023,0.8235294117647058,0.7031379722934005,0.7678888383244875,0.09097130344840354
"(0.769, 0.845]",33,0.8103835211416757,0.9090909090909091,0.7719098664430385,0.8452918704278971,0.0987073879492334
"(0.845, 0.967]",34,0.8966123431415576,0.8529411764705882,0.8454489588767206,0.9666750326037288,-0.043671166670969375
